SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
762	102	323	33	16	16	57	10	33	97	22	43
2136	584	1723	297	395	402	152	157	345	403	152	426
660	223	704	109	180	158	14	16	22	94	49	47
953	302	822	160	202	234	126	129	302	263	68	362
1067	244	1036	83	143	120	16	15	26	111	57	97
755	268	578	154	177	231	142	170	274	221	51	285
1404	711	819	1509	1156	1212	1128	1293	1598	1271	37	1501
1158	597	587	990	920	772	922	1029	1233	1151	26	915
632	658	585	1198	756	915	878	955	1276	863	98	925
20645	13739	17244	22916	17756	19548	18536	21509	32413	22234	787	27738
1758	623	546	1030	696	579	1294	1150	1136	1505	46	847
6313	2874	2811	2726	2460	2279	4033	3438	4762	5346	104	3407
8931	4981	4786	3897	3407	3091	4983	5360	7179	6810	124	5442
2454	1675	2321	1586	1383	1595	1611	2094	3331	2091	104	2959
2332	1114	1353	3235	2182	2577	2171	2139	3056	2681	66	2580
14045	5298	8781	12908	6037	9079	9390	8114	14672	12464	287	13557
23308	11140	14717	18865	14002	16728	16514	18693	28145	21692	633	22790
634	356	381	365	354	429	356	575	619	417	36	570
14631	6289	5246	8029	5699	4224	11448	7110	8659	16955	220	6898
1297	652	820	1083	984	1004	875	1111	1594	1255	26	1362
128	110	118	157	172	161	113	154	214	146	9	164
0	0	0	0	0	0	0	1	1	0	0	1
2051	998	1207	1850	1571	2076	1839	2096	2945	2298	153	2495
5295	2003	2409	2526	1663	1969	3147	2330	3553	4027	86	3093
5141	1966	2310	2486	1643	1922	3080	2280	3456	3916	86	3012
8804	3627	3042	2940	1930	1770	5683	3871	4702	7160	183	3156
8393	3345	2758	2810	1831	1638	5464	3647	4344	6888	172	2916
5378	3163	2691	2855	2772	2182	4070	4382	5394	5398	135	3699
5365	2628	2380	2622	1896	1786	3363	2831	3388	4235	91	2780
13131	7529	6873	7868	6821	6723	9625	9800	12408	12669	299	9764
13794	9384	9838	10212	9471	9937	9649	12272	16576	13879	314	13593
27734	22755	20371	15050	15378	15305	29027	30627	39085	27969	1114	28510
6462	2173	2526	1661	1332	1453	2951	2116	3188	3923	31	2567
3514	1646	1454	1275	947	808	2065	1743	2109	2826	57	1684
2062	1330	1186	192	191	211	1034	1155	1609	1251	31	964
130	29	29	38	51	67	113	65	61	89	2	40
769	352	395	795	523	611	584	560	733	808	17	652
21300	8222	16551	27753	18802	25602	13710	19989	33136	15075	1411	36459
1406	1578	3075	4656	3283	3853	1434	3904	5636	1926	118	6573
41570	24991	30703	28898	23800	27168	29182	36985	53401	36809	1686	49911
200	178	186	801	737	684	297	578	757	388	14	533
0	1	0	1	0	0	0	0	0	0	0	0
4023	1972	2604	2585	1748	2335	2396	2251	4017	3226	65	3415
6784	2704	9735	7299	4467	7021	1106	4928	10495	4635	123	18181
0	0	1	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0
3063	2684	2909	927	1247	1181	1542	2452	3771	2254	72	2749
6569	3623	3315	1657	1061	1278	2902	2760	3681	3187	90	2788
403	786	766	525	691	908	443	1056	1648	400	27	1063
336	312	309	718	550	701	539	818	1087	465	47	705
2668	1946	2099	2039	2416	2482	2226	3159	4368	2969	124	3108
7814	6039	6712	1507	2457	2320	4139	6052	8915	5356	187	7270
6546	8028	14520	12560	18088	21432	11934	29005	36970	11241	5051	33265
10023	5840	5991	6046	4612	5225	6461	7154	10135	8911	211	8484
627	385	556	423	390	492	455	560	981	609	21	826
3848	1589	1987	2560	1787	2021	2428	2325	3314	3331	97	3008
5244	1901	1867	3540	2440	2918	4180	3694	5191	5321	166	3631
799	322	150	706	468	375	630	421	446	773	32	364
2760	1083	1154	2430	1439	1331	2127	1755	2024	2931	68	1820
1367	517	1246	1249	1584	1809	1047	1417	1820	1270	85	3065
3741	1281	1480	2299	977	1286	2542	1618	2353	3449	80	2125
