SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
7	3	6	1	1	2	2	4	4	3	1	5
1	2	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
13	6	3	5	1	3	1	3	5	3	0	0
5	4	0	0	2	0	1	3	2	1	0	1
0	4	0	3	1	2	2	0	3	2	0	2
676	467	740	1379	1199	1457	471	849	1509	578	33	1324
2320	3351	6866	1440	1586	1456	1112	1205	2525	2210	550	2902
4	3	2	2	0	0	3	5	2	0	0	1
1	0	1	1	0	2	1	1	1	3	1	0
3	0	3	34	14	18	17	13	14	27	0	13
298	97	134	1036	783	711	282	342	522	650	13	459
11	1	14	20	3	0	0	2	0	0	1	3
2463	962	956	1482	1150	1264	1602	1231	1751	1858	45	1453
6961	2627	3179	5277	3565	4218	4660	3796	5542	5643	109	4680
16296	8719	12664	13663	11393	14412	17677	14369	21193	17057	469	19384
2985	2067	1653	3097	2830	2257	2356	2917	3211	3224	70	2714
2132	643	602	1055	625	664	1258	815	1075	1630	36	953
16840	10526	9520	12277	10852	10423	18648	16780	21571	20687	700	16296
9645	4362	3872	5812	3774	3606	7965	6120	7843	9502	424	5558
3147	3537	3591	7858	6519	7487	4876	7220	10393	5325	329	8191
14915	11570	13970	13912	13665	15241	10904	15019	24070	15726	1144	18652
1613	206	583	573	491	613	848	633	730	1001	55	1398
3391	619	1316	84	53	68	917	890	850	1017	43	1711
1429	284	585	17	15	15	685	349	876	1063	22	771
100	43	37	7	5	10	62	79	108	118	3	96
3912	5397	5840	2928	4168	3915	2094	2784	6454	5438	330	2943
1226	996	1348	2311	1394	1741	1178	1671	2289	1513	92	1907
3	2	0	1	0	3	2	3	6	1	5	1
4	1	1	1	2	2	3	2	1	16	10	0
1	1	1	0	0	0	2	1	0	1	0	0
1303	181	571	382	103	205	528	295	289	543	13	826
37	6	8	36	14	26	27	11	10	30	24	18
74	21	40	39	23	31	62	51	84	67	33	61
4641	1959	3179	4262	3104	3828	3011	3589	5071	3944	110	5239
7417	2566	3036	4253	2250	2715	4250	3329	4637	6225	91	4504
845	969	2503	59	65	55	535	184	513	793	121	557
662	251	249	423	172	311	444	276	430	496	12	350
36	19	57	77	97	112	55	59	107	74	3	76
1094	164	268	133	100	54	90	97	149	187	14	89
1372	211	499	97	63	26	28	10	24	101	24	56
13	1	15	2	0	1	4	2	0	2	0	3
4	2	6	4	2	2	5	1	8	5	1	5
34	16	9	43	20	26	31	20	38	34	3	27
3716	717	882	2990	1683	2071	3085	1644	2933	4634	68	2405
715	281	229	339	263	263	378	391	455	485	14	310
4237	1675	1413	3335	2017	2048	3359	2361	3033	4610	94	2426
17	7	7	20	6	8	18	13	15	17	0	10
6	0	8	7	1	1	1	3	4	1	0	17
643	353	311	644	379	380	534	532	552	687	29	462
1	0	7	7	6	5	2	0	1	0	0	18
5	3	6	1	1	0	2	5	7	1	1	8
17	16	17	7	5	9	20	16	21	9	0	18
3053	1360	1448	2606	1806	1975	2474	2214	2796	3299	88	2314
14972	9365	9263	14294	12171	11198	14309	16789	21213	18998	742	16754
1646	696	800	1557	969	958	1257	1115	1493	1684	52	1364
6312	3127	2575	4650	3281	3049	5442	4658	5724	7084	515	4156
2735	2466	3859	5440	5600	5889	2755	4279	6227	3598	159	6319
481	495	434	48	79	72	282	332	416	373	248	305
256	211	334	25	26	44	147	110	270	200	128	182
351	202	248	37	18	26	232	160	341	285	236	222
135	141	132	99	120	159	167	145	296	185	262	246
192	154	166	72	100	129	137	113	181	197	279	131
1843	1381	1051	959	1109	865	1127	1464	1685	1717	37	1305
321	140	205	80	85	72	215	167	353	297	209	270
2	0	1	0	0	0	0	1	2	1	0	0
279	184	299	39	58	53	146	114	266	212	160	216
568	552	461	37	51	37	271	337	501	345	280	334
34	18	23	18	18	27	14	17	30	28	16	23
347	290	282	37	54	68	189	160	266	235	306	179
140	153	138	93	142	169	146	144	267	199	291	227
10	15	9	20	8	15	4	5	8	8	2	10
2209	906	813	1890	1215	1067	1862	1342	1797	2497	46	1391
3915	1723	1564	2481	1798	1708	3253	2542	3151	4737	108	2310
762	102	322	33	16	18	58	10	34	98	22	43
2134	567	1735	295	393	395	153	158	345	404	146	428
657	206	715	107	178	151	15	17	22	95	43	49
953	302	822	160	202	234	126	129	302	263	68	362
1066	260	1020	85	145	128	15	14	26	110	63	95
755	268	578	153	177	230	142	170	274	221	51	285
